OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,crypto
2018-05-04 08:00:00,0.5,1.5,0.5,0.923,5090857.33,4696706.9804918,9761,1835315.37,1692794.0916185,XRPUSDT
2018-05-04 09:00:00,0.923,0.9285,0.901,0.90199,3326696.1,3047296.5701691,5345,876139.27,802279.8346138999,XRPUSDT
2018-05-04 10:00:00,0.90199,0.91027,0.8951,0.90128,1176810.48,1064841.9377939,2077,446625.34,404181.7525981,XRPUSDT
2018-05-04 11:00:00,0.90128,0.9213,0.88,0.91596,1714233.92,1550125.8623716,2886,945299.73,855673.2797516,XRPUSDT
2018-05-04 12:00:00,0.91596,0.9245,0.9,0.90098,1323800.17,1207513.0577843,2327,530770.12,484253.1892331,XRPUSDT
2018-05-04 13:00:00,0.90101,0.90985,0.89,0.89722,1258089.98,1134516.5356094,2375,498535.91000000003,449891.48340150004,XRPUSDT
2018-05-04 14:00:00,0.89791,0.90489,0.89502,0.90275,1056740.26,951945.6616471,2622,635711.38,572603.6194872,XRPUSDT
2018-05-04 15:00:00,0.90112,0.90279,0.87644,0.88389,1640831.55,1454456.2920152,2568,861538.87,763426.9695445,XRPUSDT
2018-05-04 16:00:00,0.8837,0.898,0.878,0.89443,832084.59,738057.6414356,1514,482926.15,428302.48146449996,XRPUSDT
2018-05-04 17:00:00,0.89499,0.8999,0.8839,0.88421,656602.13,586316.8255599,1196,247122.58,221016.8812515,XRPUSDT
2018-05-04 18:00:00,0.88698,0.89,0.88112,0.89,577775.11,511815.4220567,967,253411.75,224707.0031647,XRPUSDT
2018-05-04 19:00:00,0.89069,0.893,0.88511,0.89199,415982.89,369929.52632259997,720,183889.49,163703.3424717,XRPUSDT
2018-05-04 20:00:00,0.89199,0.898,0.89069,0.89618,313509.10000000003,280366.6614775,612,185937.72,166219.349784,XRPUSDT
2018-05-04 21:00:00,0.89618,0.90699,0.89618,0.9,733045.1,660935.8830401,1157,324873.88,292799.917926,XRPUSDT
2018-05-04 22:00:00,0.9,0.90195,0.89338,0.89726,382955.36,343733.2887843,644,152458.58000000002,136920.5977085,XRPUSDT
2018-05-04 23:00:00,0.897,0.89726,0.88907,0.8899,390199.75,348166.5479164,721,119737.2,106931.7480562,XRPUSDT
2018-05-05 00:00:00,0.8898,0.905,0.888,0.89644,651076.16,585324.810915,1065,405444.52,364503.1336954,XRPUSDT
2018-05-05 01:00:00,0.89643,0.90545,0.89218,0.90545,581303.4,520916.704166,765,189298.65,170002.1621878,XRPUSDT
2018-05-05 02:00:00,0.90545,0.907,0.8971,0.9009,576319.55,519929.9681112,1018,184151.56,166242.4292317,XRPUSDT
2018-05-05 03:00:00,0.90094,0.90299,0.898,0.9016,437287.03,393409.7811038,893,196693.1,177073.650003,XRPUSDT
2018-05-05 04:00:00,0.9016,0.90985,0.9016,0.90596,520054.85,471103.4897647,810,328496.92,297574.7148615,XRPUSDT
2018-05-05 05:00:00,0.90596,0.90714,0.9001,0.90549,369930.38,334016.62000439997,662,165910.53,149987.7069087,XRPUSDT
2018-05-05 06:00:00,0.90442,0.90771,0.90125,0.90299,712072.27,644300.6707217,885,371079.63,335865.94621880003,XRPUSDT
2018-05-05 07:00:00,0.90299,0.90619,0.90126,0.90293,392625.36,354344.3166094,603,190403.41999999998,171893.8161474,XRPUSDT
2018-05-05 08:00:00,0.90291,0.90618,0.90172,0.90316,498751.32,451021.05334,615,267144.15,241677.9868059,XRPUSDT
2018-05-05 09:00:00,0.90297,0.905,0.90175,0.90209,241412.57,217955.6967105,431,96699.45,87289.1076346,XRPUSDT
2018-05-05 10:00:00,0.90374,0.90985,0.902,0.90794,941412.44,852578.7064386001,1392,483075.25,437524.2225779,XRPUSDT
2018-05-05 11:00:00,0.90794,0.90799,0.89679,0.90176,1386465.85,1251542.4083066,1346,554649.83,499758.01741830003,XRPUSDT
2018-05-05 12:00:00,0.90244,0.90896,0.90175,0.90525,619714.22,561536.2600144,790,404083.19,366233.5466374,XRPUSDT
2018-05-05 13:00:00,0.90474,0.92336,0.90405,0.905,1834460.57,1676904.4282057,2891,1119675.49,1022338.0011511999,XRPUSDT
2018-05-05 14:00:00,0.905,0.9156,0.9049,0.915,766764.6,699770.7892338,1235,293176.82,267528.6573426,XRPUSDT
2018-05-05 15:00:00,0.9145,0.935,0.9145,0.93209,1366019.77,1261912.6561197,2335,830072.46,765771.3641197,XRPUSDT
2018-05-05 16:00:00,0.93209,0.93209,0.915,0.91985,1276273.97,1174217.1317917,1989,443126.48,407695.9822031,XRPUSDT
2018-05-05 17:00:00,0.91982,0.92342,0.91501,0.91501,648904.0700000001,597497.8672707,1113,241167.01,222137.0025976,XRPUSDT
2018-05-05 18:00:00,0.91501,0.92,0.9105,0.91207,565150.62,516602.29384359997,1201,228479.55,208882.4833101,XRPUSDT
2018-05-05 19:00:00,0.91206,0.9132,0.9075,0.908,368418.74,335424.8075764,724,105279.48,95852.2411665,XRPUSDT
2018-05-05 20:00:00,0.908,0.91105,0.898,0.901,732835.63,662566.1720121,1184,271656.15,245746.683092,XRPUSDT
2018-05-05 21:00:00,0.901,0.90489,0.89601,0.90212,707333.08,636216.9241086,899,366094.16,329591.6779842,XRPUSDT
2018-05-05 22:00:00,0.904,0.911,0.89891,0.90501,470237.28,425999.8938203,1131,265252.11,240190.0254486,XRPUSDT
2018-05-05 23:00:00,0.90608,0.9085,0.9022,0.9028,151341.57,136906.627602,499,55913.0,50625.5812554,XRPUSDT
2018-05-06 00:00:00,0.9028,0.909,0.90011,0.90805,900769.2,814628.2406095,1288,279425.39,252883.1648007,XRPUSDT
2018-05-06 01:00:00,0.90704,0.91151,0.90437,0.91,698651.85,633667.2963205,1002,265636.88,241178.41707939998,XRPUSDT
2018-05-06 02:00:00,0.91,0.918,0.90302,0.90796,834885.1,760886.351241,1157,383655.6,350034.41330270004,XRPUSDT
2018-05-06 03:00:00,0.90796,0.91349,0.9072,0.91234,223766.9,203741.9218128,502,83659.91,76192.4823131,XRPUSDT
2018-05-06 04:00:00,0.91234,0.91611,0.90279,0.90285,460071.99,418700.3065401,935,175712.5,160041.9246044,XRPUSDT
2018-05-06 05:00:00,0.90285,0.905,0.88445,0.88445,1360176.01,1215445.2796287,1963,437394.02999999997,391018.1877279,XRPUSDT
2018-05-06 06:00:00,0.88446,0.88489,0.85584,0.87365,2314002.69,2014380.6737639,3524,1058585.04,921030.0481551,XRPUSDT
2018-05-06 07:00:00,0.87365,0.88,0.87002,0.87966,574641.27,502972.7710214,1228,203361.66,178229.1367803,XRPUSDT
2018-05-06 08:00:00,0.87966,0.8814,0.85623,0.866,950685.65,823509.3474895,1942,440407.57,381022.107731,XRPUSDT
2018-05-06 09:00:00,0.866,0.87066,0.86001,0.86682,741843.07,641089.1316416999,1402,422987.49,365566.8148151,XRPUSDT
2018-05-06 10:00:00,0.86666,0.87689,0.86251,0.86561,444701.77999999997,386541.797961,1030,275236.86,239145.984341,XRPUSDT
2018-05-06 11:00:00,0.86716,0.87,0.85,0.8555,954134.8,820266.0183259001,1458,481496.11,414224.1903184,XRPUSDT
2018-05-06 12:00:00,0.85576,0.86001,0.83774,0.8581,1458553.1400000001,1239766.3423886,2668,698715.52,593380.8080261,XRPUSDT
2018-05-06 13:00:00,0.85801,0.86979,0.85412,0.86196,627092.56,540535.1867322,1328,244023.47999999998,210194.51271510002,XRPUSDT
2018-05-06 14:00:00,0.8624,0.86995,0.85401,0.86582,362929.08,312289.307763,1088,195150.59,168136.9912768,XRPUSDT
2018-05-06 15:00:00,0.8658,0.8715,0.85154,0.8575,561248.09,482797.1423027,964,232086.16,200428.2733695,XRPUSDT
2018-05-06 16:00:00,0.8575,0.8712,0.85705,0.8671,474986.79,411352.9355075,980,283864.25,245388.1818587,XRPUSDT
2018-05-06 17:00:00,0.86711,0.87095,0.866,0.86715,416081.75,361487.5130952,690,179999.12,156494.4210993,XRPUSDT
2018-05-06 18:00:00,0.86712,0.86899,0.86,0.86154,397554.76,343599.7664348,679,219104.95,189415.97497080002,XRPUSDT
2018-05-06 19:00:00,0.86155,0.86537,0.85502,0.85674,220930.98,189938.6678557,675,83601.09,71894.9091002,XRPUSDT
2018-05-06 20:00:00,0.85672,0.86,0.85301,0.85309,298282.75,254875.7993222,666,78526.66,67216.1228635,XRPUSDT
2018-05-06 21:00:00,0.85354,0.85666,0.85001,0.8538,157930.04,134808.2800001,344,59800.75,51053.0579444,XRPUSDT
2018-05-06 22:00:00,0.8538,0.86822,0.8511,0.86165,304951.15,262851.6474705,753,170583.41,147109.6004236,XRPUSDT
2018-05-06 23:00:00,0.862,0.86728,0.85999,0.86483,263164.4,227009.83858830002,447,152338.52,131440.9120667,XRPUSDT
2018-05-07 00:00:00,0.86482,0.86886,0.844,0.844,499950.06,427834.0867702,1153,104250.42,89389.4552408,XRPUSDT
2018-05-07 01:00:00,0.84402,0.84774,0.8163,0.825,1608530.65,1334481.9535249,3224,591244.25,488681.8809848,XRPUSDT
2018-05-07 02:00:00,0.82598,0.8269,0.81179,0.8205,1067407.79,874822.7848346,1534,465992.0,382041.6524154,XRPUSDT
2018-05-07 03:00:00,0.82101,0.827,0.8,0.823,2191401.66,1773700.339174,2810,1306808.96,1056122.7311406,XRPUSDT
2018-05-07 04:00:00,0.823,0.82643,0.81592,0.81987,784263.42,644534.1365633,1051,287342.57,236140.8392795,XRPUSDT
2018-05-07 05:00:00,0.819,0.82338,0.80781,0.82,506874.52,412984.97938730003,954,276881.19,225541.2772841,XRPUSDT
2018-05-07 06:00:00,0.82,0.82499,0.81999,0.82317,333889.13,274510.669659,600,124539.76,102433.8248466,XRPUSDT
2018-05-07 07:00:00,0.82315,0.82315,0.80201,0.81073,534197.53,433634.0354341,1167,152888.65,123920.13236169999,XRPUSDT
2018-05-07 08:00:00,0.81076,0.83349,0.80701,0.82797,844345.21,689569.851887,1413,523090.77999999997,427950.1250168,XRPUSDT
2018-05-07 09:00:00,0.82703,0.836,0.81,0.811,702546.47,575906.574179,1327,310282.42,254490.8475272,XRPUSDT
2018-05-07 10:00:00,0.811,0.8246,0.81005,0.81401,534868.18,436276.71052870003,951,266397.9,217635.550717,XRPUSDT
2018-05-07 11:00:00,0.81637,0.8222,0.81253,0.82,444384.26,363413.3738977,680,203661.15,166786.5298509,XRPUSDT
2018-05-07 12:00:00,0.8187,0.82556,0.8159,0.82258,726763.65,597387.4371558,930,401560.31,330362.9807302,XRPUSDT
2018-05-07 13:00:00,0.82092,0.82258,0.8121,0.81305,440602.55,359719.45589820005,783,169344.92,138257.1294536,XRPUSDT
2018-05-07 14:00:00,0.81305,0.8169,0.8,0.8114,1609919.21,1297474.4394153,2203,824286.99,663588.5449733,XRPUSDT
2018-05-07 15:00:00,0.81126,0.82,0.80863,0.8197,571427.53,466225.4610442,860,274751.31,224278.8790913,XRPUSDT
2018-05-07 16:00:00,0.81969,0.8248,0.81525,0.81945,822890.89,675111.0363632999,1140,245337.15,201538.7343603,XRPUSDT
2018-05-07 17:00:00,0.82,0.828,0.81947,0.82415,316335.86,260790.4067875,697,141782.51,116920.5448854,XRPUSDT
2018-05-07 18:00:00,0.82413,0.8311,0.8219,0.82612,286701.12,237191.5073426,681,142437.18000000002,117857.11898110001,XRPUSDT
2018-05-07 19:00:00,0.8258,0.83806,0.82521,0.83311,612500.3,510091.053004,1307,200179.66999999998,166561.1162144,XRPUSDT
2018-05-07 20:00:00,0.83324,0.83948,0.82801,0.83885,452660.73,377100.7406941,1005,148765.05,124148.4466821,XRPUSDT
2018-05-07 21:00:00,0.8387,0.8422,0.83407,0.83407,446128.11,374302.0327697,845,143229.97,120113.2701848,XRPUSDT
2018-05-07 22:00:00,0.835,0.835,0.81681,0.822,565328.36,466122.5700093,1246,202226.61000000002,166914.7101406,XRPUSDT
2018-05-07 23:00:00,0.822,0.82826,0.81706,0.8249,399569.21,329094.0929089,613,156591.34,129086.83006230001,XRPUSDT
2018-05-08 00:00:00,0.8249,0.83577,0.82345,0.83324,319316.42,265256.5079849,669,203420.87,169036.8978228,XRPUSDT
2018-05-08 01:00:00,0.83323,0.84505,0.83069,0.83958,507590.42,425615.4498398,1226,227074.38999999998,190683.2005986,XRPUSDT
2018-05-08 02:00:00,0.83957,0.84802,0.83801,0.84316,497453.93,419533.3608505,1094,244660.88999999998,206361.9311399,XRPUSDT
2018-05-08 03:00:00,0.84316,0.8457,0.835,0.844,354262.01,297981.9430038,797,143907.51,121140.0422886,XRPUSDT
2018-05-08 04:00:00,0.84261,0.84261,0.837,0.84,291725.56,244876.5437289,432,135437.56,113632.177574,XRPUSDT
2018-05-08 05:00:00,0.84,0.84,0.829,0.8311,607683.74,505868.1957755,1402,348246.25,289704.62319199997,XRPUSDT
2018-05-08 06:00:00,0.83032,0.83699,0.82474,0.82846,670041.67,555635.0120069,1036,455197.3,377318.8137115,XRPUSDT
2018-05-08 07:00:00,0.8285,0.836,0.82846,0.82962,255300.16,212033.9532241,519,129021.65,107223.69708760001,XRPUSDT
2018-05-08 08:00:00,0.82962,0.8326,0.82866,0.83086,228034.78,189447.1796413,498,116643.7,96965.3587703,XRPUSDT
2018-05-08 09:00:00,0.83245,0.8325,0.806,0.8172,857225.29,701411.79387,2031,338860.35,277266.0517696,XRPUSDT
2018-05-08 10:00:00,0.8172,0.823,0.81,0.815,749479.23,612382.5233678,901,242117.33,197671.8558334,XRPUSDT
2018-05-08 11:00:00,0.81515,0.81518,0.80284,0.80284,1031377.58,832694.6685413,1630,606143.2,489163.7776307,XRPUSDT
2018-05-08 12:00:00,0.80284,0.80557,0.792,0.80381,1670297.8800000001,1333086.4099454,2952,740646.78,591227.4051444,XRPUSDT
2018-05-08 13:00:00,0.80381,0.8095,0.798,0.79969,666828.28,535342.6484862,1152,374817.94,300843.3993729,XRPUSDT
2018-05-08 14:00:00,0.79969,0.81198,0.79802,0.80667,628168.0,506653.3907164,984,270781.38,218295.5767914,XRPUSDT
2018-05-08 15:00:00,0.80502,0.80977,0.80236,0.80797,331156.04,266793.4909928,543,219417.32,176808.36915420002,XRPUSDT
2018-05-08 16:00:00,0.80803,0.80985,0.79802,0.79998,487775.19,391553.79641219997,671,101135.95,81199.74357220001,XRPUSDT
2018-05-08 17:00:00,0.79998,0.8042,0.7977,0.801,284426.2,227932.0081,505,148342.49,118922.4010373,XRPUSDT
2018-05-08 18:00:00,0.80196,0.81298,0.7933,0.80805,537968.61,432332.3070141,1133,227363.78,183057.3662007,XRPUSDT
2018-05-08 19:00:00,0.80805,0.815,0.80677,0.81306,278034.17,225837.5354762,647,145039.95,117871.5442853,XRPUSDT
2018-05-08 20:00:00,0.81306,0.8158,0.8047,0.8052,354068.88,287029.81141819997,628,177033.89,143581.1637575,XRPUSDT
2018-05-08 21:00:00,0.8052,0.81254,0.8044,0.80549,311154.87,251157.444162,491,184801.13,149148.8581702,XRPUSDT
2018-05-08 22:00:00,0.80549,0.812,0.8044,0.80634,207530.53,167675.8945781,409,109181.31,88204.87052540001,XRPUSDT
2018-05-08 23:00:00,0.80634,0.81195,0.80634,0.80667,844403.74,683712.2614883999,660,52663.520000000004,42610.562583499996,XRPUSDT
2018-05-09 00:00:00,0.80667,0.80813,0.7958,0.79837,437671.32,350584.2130283,943,179453.45,143676.7583141,XRPUSDT
2018-05-09 01:00:00,0.79681,0.80434,0.7968,0.80084,295370.49,236423.5778633,445,164811.81,131948.308426,XRPUSDT
2018-05-09 02:00:00,0.80084,0.80208,0.7831,0.78731,1048999.23,827714.3827075,1777,604543.17,476263.27298380004,XRPUSDT
