OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1502942400000,4261.48,4280.56,4261.48,4261.48,2.189061,9333.6209622,9,0.489061,2089.1049622,201708
1502942700000,4261.48,4261.48,4261.48,4261.48,0.0,0.0,0,0.0,0.0,201708
1502943000000,4261.48,4261.48,4261.48,4261.48,0.0,0.0,0,0.0,0.0,201708
1502943300000,4261.48,4264.88,4261.48,4261.48,0.484666,2065.44782868,9,0.085455,364.2181364,201708
1502943600000,4264.88,4266.29,4264.88,4266.29,2.32857,9931.16112417,11,1.546491,6595.68803865,201708
1502943900000,4266.29,4270.41,4261.32,4261.45,6.306629,26894.52409332,20,1.815167,7744.02882043,201708
1502944200000,4280.0,4296.63,4267.99,4296.63,7.938133,33930.63395853,23,7.873691,33653.75052807,201708
1502944500000,4300.38,4300.38,4300.38,4300.38,5.626596,24196.50090648,14,5.626596,24196.50090648,201708
1502944800000,4300.38,4310.07,4300.38,4310.07,8.358823,35953.78270318,21,6.92103,29770.72644184,201708
1502945100000,4310.07,4310.07,4292.01,4292.01,2.4481,10533.422367,14,1.4481,6241.412367,201708
1502945400000,4292.01,4313.62,4292.01,4313.6,4.758883,20501.18752102,21,3.198878,13792.44460287,201708
1502945700000,4302.48,4313.62,4291.37,4308.83,6.741548,29025.85692846,29,6.156034,26504.6031391,201708
1502946000000,4308.83,4308.83,4304.31,4304.31,0.482855,2080.05646965,13,0.375855,1619.49529965,201708
1502946300000,4308.83,4328.69,4308.83,4328.69,4.274772,18442.34436822,21,2.857254,12334.50028428,201708
1502946600000,4328.69,4328.69,4304.31,4304.31,0.343526,1484.13227336,10,0.263526,1139.78747336,201708
1502946900000,4320.0,4320.0,4312.14,4320.0,5.451533,23518.41095103,11,5.403973,23312.95222663,201708
1502947200000,4320.0,4320.0,4320.0,4320.0,3.446473,14888.76336,11,3.446473,14888.76336,201708
1502947500000,4319.22,4320.0,4319.22,4320.0,7.049489,30450.58509816,7,7.049489,30450.58509816,201708
1502947800000,4320.0,4320.0,4320.0,4320.0,1.027378,4438.27296,11,1.027378,4438.27296,201708
1502948100000,4320.0,4320.0,4291.37,4291.37,1.128075,4869.42562079,14,0.993308,4291.09056,201708
1502948400000,4291.37,4291.37,4291.37,4291.37,0.0,0.0,0,0.0,0.0,201708
